country,child_mort,exports,health,imports,income,inflation,life_expec,total_fer,gdpp,year
Afghanistan,90.2,10.0,7.58,44.9,1610.0,9.44,56.2,5.82,553.0,2000
Albania,16.6,28.0,6.55,48.6,9930.0,4.49,76.3,1.65,4090.0,2000
Algeria,27.3,38.4,4.17,31.4,12900.0,16.1,76.5,2.89,4460.0,2000
Angola,119.0,62.3,2.85,42.9,5900.0,22.4,60.1,6.16,3530.0,2000
Antigua and Barbuda,10.3,45.5,6.03,58.9,19100.0,1.44,76.8,2.13,12200.0,2000
Argentina,14.5,18.9,8.1,16.0,18700.0,20.9,75.8,2.37,10300.0,2000
Armenia,18.1,20.8,4.4,45.3,6700.0,7.77,73.3,1.69,3220.0,2000
Australia,4.8,19.8,8.73,20.9,41400.0,1.16,82.0,1.93,51900.0,2000
Austria,4.3,51.3,11.0,47.8,43200.0,0.873,80.5,1.44,46900.0,2000
Azerbaijan,39.2,54.3,5.88,20.7,16000.0,13.8,69.1,1.92,5840.0,2000
Bahamas,13.8,35.0,7.89,43.7,22900.0,-0.393,73.8,1.86,28000.0,2000
Bahrain,8.6,69.5,4.97,50.9,41100.0,7.44,76.0,2.16,20700.0,2000
Bangladesh,49.4,16.0,3.52,21.8,2440.0,7.14,70.4,2.33,758.0,2000
Barbados,14.2,39.5,7.97,48.7,15300.0,0.321,76.7,1.78,16000.0,2000
Belarus,5.5,51.4,5.61,64.5,16200.0,15.1,70.4,1.49,6030.0,2000
Belgium,4.5,76.4,10.7,74.7,41100.0,1.88,80.0,1.86,44400.0,2000
Belize,18.8,58.2,5.2,57.5,7880.0,1.14,71.4,2.71,4340.0,2000
Benin,111.0,23.8,4.1,37.2,1820.0,0.885,61.8,5.36,758.0,2000
Bhutan,42.7,42.5,5.2,70.7,6420.0,5.99,72.1,2.38,2180.0,2000
Bolivia,46.6,41.2,4.84,34.3,5410.0,8.78,71.6,3.2,1980.0,2000
Bosnia and Herzegovina,6.9,29.7,11.1,51.3,9720.0,1.4,76.8,1.31,4610.0,2000
Botswana,52.5,43.6,8.3,51.3,13300.0,8.92,57.1,2.88,6350.0,2000
Brazil,19.8,10.7,9.01,11.8,14500.0,8.41,74.2,1.8,11200.0,2000
Brunei,10.5,67.4,2.84,28.0,80600.0,16.7,77.1,1.84,35300.0,2000
Bulgaria,10.8,50.2,6.87,53.0,15300.0,1.11,73.9,1.57,6840.0,2000
Burkina Faso,116.0,19.2,6.74,29.6,1430.0,6.81,57.9,5.87,575.0,2000
Burundi,93.6,8.92,11.6,39.2,764.0,12.3,57.7,6.26,231.0,2000
Cambodia,44.4,54.1,5.68,59.5,2520.0,3.12,66.1,2.88,786.0,2000
Cameroon,108.0,22.2,5.13,27.0,2660.0,1.91,57.3,5.11,1310.0,2000
Canada,5.6,29.1,11.3,31.0,40700.0,2.87,81.3,1.63,47400.0,2000
Cape Verde,26.5,32.7,4.09,61.8,5830.0,0.505,72.5,2.67,3310.0,2000
Central African Republic,149.0,11.8,3.98,26.5,888.0,2.01,47.5,5.21,446.0,2000
Chad,150.0,36.8,4.53,43.5,1930.0,6.39,56.5,6.59,897.0,2000
Chile,8.7,37.7,7.96,31.3,19400.0,8.96,79.1,1.88,12900.0,2000
China,15.7,26.3,5.07,22.6,9530.0,6.94,74.6,1.59,4560.0,2000
Colombia,18.6,15.9,7.59,17.8,10900.0,3.86,76.4,2.01,6250.0,2000
Comoros,88.2,16.5,4.51,51.7,1410.0,3.87,65.9,4.75,769.0,2000
"Congo, Dem. Rep.",116.0,41.1,7.91,49.6,609.0,20.8,57.5,6.54,334.0,2000
"Congo, Rep.",63.9,85.1,2.46,54.7,5190.0,20.7,60.4,4.95,2740.0,2000
Costa Rica,10.2,33.2,10.9,35.0,13000.0,6.57,80.4,1.92,8200.0,2000
Cote d'Ivoire,111.0,50.6,5.3,43.3,2690.0,5.39,56.3,5.27,1220.0,2000
Croatia,5.5,37.6,7.76,38.1,20100.0,0.821,76.3,1.55,13500.0,2000
Cyprus,3.6,50.2,5.97,57.5,33900.0,2.01,79.9,1.42,30800.0,2000
Czech Republic,3.4,66.0,7.88,62.9,28300.0,-1.43,77.5,1.51,19800.0,2000
Denmark,4.1,50.5,11.4,43.6,44000.0,3.22,79.5,1.87,58000.0,2000
Dominican Republic,34.4,22.7,6.22,33.3,11100.0,5.44,74.6,2.6,5450.0,2000
Ecuador,25.1,27.9,8.06,32.4,9350.0,7.47,76.7,2.66,4660.0,2000
Egypt,29.1,21.3,4.66,26.6,9860.0,10.1,70.5,3.19,2600.0,2000
El Salvador,19.2,26.9,6.91,46.6,7300.0,2.65,74.1,2.27,2990.0,2000
Equatorial Guinea,111.0,85.8,4.48,58.9,33700.0,24.9,60.9,5.21,17100.0,2000
Eritrea,55.2,4.79,2.66,23.3,1420.0,11.6,61.7,4.61,482.0,2000
Estonia,4.5,75.1,6.03,68.7,22700.0,1.74,76.0,1.72,14600.0,2000
Fiji,24.1,57.8,4.86,63.9,7350.0,4.23,65.3,2.67,3650.0,2000
Finland,3.0,38.7,8.95,37.4,39800.0,0.351,80.0,1.87,46200.0,2000
France,4.2,26.8,11.9,28.1,36900.0,1.05,81.4,2.03,40600.0,2000
